FromName,ToName,ParentName,Include,Description,DataType,DataLength,,
Alternative.AlternativeId,AlternativeId,,TRUE,,GUID,,,
Alternative.Name,Name,,TRUE,,TEXT,50,,
Alternative.Description,Description,,TRUE,,TEXT,500,,
Speech,Speech,,TRUE,,,,,
Speech.SpeechId,SpeechId,,TRUE,,GUID,,,
Speech.Name,Name,,TRUE,,TEXT,50,,
Speech.Description,Description,,TRUE,,TEXT,500,,
Amateurradiorepeater,Amateurradiorepeater,,FALSE,,,,,
Amateurradiorepeater.AmateurradiorepeaterId,AmateurradiorepeaterId,,FALSE,,GUID,,,
Amateurradiorepeater.Name,Name,,FALSE,,TEXT,50,,
Amateurradiorepeater.Description,Description,,FALSE,,TEXT,500,,
Example,Example,,TRUE,,,,,
Example.ExampleId,ExampleId,,TRUE,,GUID,,,
Example.Name,Name,,TRUE,,TEXT,50,,
Example.Description,Description,,TRUE,,TEXT,500,,
Uploadwikimediaorgwikipediacommonsthumbfsossvgpxsossvgpng,Uploadwikimediaorgwikipediacommonsthumbfsossvgpxsossvgpng,,FALSE,,,,,
Uploadwikimediaorgwikipediacommonsthumbfsossvgpxsossvgpng.UploadwikimediaorgwikipediacommonsthumbfsossvgpxsossvgpngId,UploadwikimediaorgwikipediacommonsthumbfsossvgpxsossvgpngId,,FALSE,,GUID,,,
Uploadwikimediaorgwikipediacommonsthumbfsossvgpxsossvgpng.Name,Name,,FALSE,,TEXT,50,,
Uploadwikimediaorgwikipediacommonsthumbfsossvgpxsossvgpng.Description,Description,,FALSE,,TEXT,500,,
Filesossvg,Filesossvg,,FALSE,,,,,
Filesossvg.FilesossvgId,FilesossvgId,,FALSE,,GUID,,,
Filesossvg.Name,Name,,FALSE,,TEXT,50,,
Filesossvg.Description,Description,,FALSE,,TEXT,500,,
Emergency,Emergency,,TRUE,,,,,
Emergency.EmergencyId,EmergencyId,,TRUE,,GUID,,,
Emergency.Name,Name,,TRUE,,TEXT,50,,
Emergency.Description,Description,,TRUE,,TEXT,500,,
Telecommunication,Telecommunication,,TRUE,,,,,
Telecommunication.TelecommunicationId,TelecommunicationId,,TRUE,,GUID,,,
Telecommunication.Name,Name,,TRUE,,TEXT,50,,
Telecommunication.Description,Description,,TRUE,,TEXT,500,,
Distress,Distress,,FALSE,,,,,
Distress.DistressId,DistressId,,FALSE,,GUID,,,
Distress.Name,Name,,FALSE,,TEXT,50,,
Distress.Description,Description,,FALSE,,TEXT,500,,
Treaty,Treaty,,FALSE,,,,,
Treaty.TreatyId,TreatyId,,FALSE,,GUID,,,
Treaty.Name,Name,,FALSE,,TEXT,50,,
Treaty.Description,Description,,FALSE,,TEXT,500,,
Development,Development,,FALSE,,,,,
Development.DevelopmentId,DevelopmentId,,FALSE,,GUID,,,
Development.Name,Name,,FALSE,,TEXT,50,,
Development.Description,Description,,FALSE,,TEXT,500,,
History,History,,FALSE,,,,,
History.HistoryId,HistoryId,,FALSE,,GUID,,,
History.Name,Name,,FALSE,,TEXT,50,,
History.Description,Description,,FALSE,,TEXT,500,,
Developmentandhistory,Developmentandhistory,,FALSE,,,,,
Developmentandhistory.DevelopmentandhistoryId,DevelopmentandhistoryId,,FALSE,,GUID,,,
Developmentandhistory.Name,Name,,FALSE,,TEXT,50,,
Developmentandhistory.Description,Description,,FALSE,,TEXT,500,,
User,User,,TRUE,,,,,
User.UserId,UserId,,TRUE,,GUID,,,
User.Name,Name,,TRUE,,TEXT,50,,
User.Description,Description,,TRUE,,TEXT,500,,
Userproficiency,Userproficiency,,FALSE,,,,,
Userproficiency.UserproficiencyId,UserproficiencyId,,FALSE,,GUID,,,
Userproficiency.Name,Name,,FALSE,,TEXT,50,,
Userproficiency.Description,Description,,FALSE,,TEXT,500,,
Internationalmorsecode,Internationalmorsecode,,FALSE,,,,,
Internationalmorsecode.InternationalmorsecodeId,InternationalmorsecodeId,,FALSE,,GUID,,,
Internationalmorsecode.Name,Name,,FALSE,,TEXT,50,,
Internationalmorsecode.Description,Description,,FALSE,,TEXT,500,,
Public,Public,,FALSE,,,,,
Public.PublicId,PublicId,,FALSE,,GUID,,,
Public.Name,Name,,FALSE,,TEXT,50,,
Public.Description,Description,,FALSE,,TEXT,500,,
Technology,Technology,,TRUE,,,,,
Technology.TechnologyId,TechnologyId,,TRUE,,GUID,,,
Technology.Name,Name,,TRUE,,TEXT,50,,
Technology.Description,Description,,TRUE,,TEXT,500,,
Morsecodeasanassistivetechnology,Morsecodeasanassistivetechnology,,FALSE,,,,,
Morsecodeasanassistivetechnology.MorsecodeasanassistivetechnologyId,MorsecodeasanassistivetechnologyId,,FALSE,,GUID,,,
Morsecodeasanassistivetechnology.Name,Name,,FALSE,,TEXT,50,,
Morsecodeasanassistivetechnology.Description,Description,,FALSE,,TEXT,500,,
Representation,Representation,,FALSE,,,,,
Representation.RepresentationId,RepresentationId,,FALSE,,GUID,,,
Representation.Name,Name,,FALSE,,TEXT,50,,
Representation.Description,Description,,FALSE,,TEXT,500,,
Timing,Timing,,TRUE,,,,,
Timing.TimingId,TimingId,,TRUE,,GUID,,,
Timing.Name,Name,,TRUE,,TEXT,50,,
Timing.Description,Description,,TRUE,,TEXT,500,,
Cablecode,Cablecode,,TRUE,,,,,
Cablecode.CablecodeId,CablecodeId,,TRUE,,GUID,,,
Cablecode.Name,Name,,TRUE,,TEXT,50,,
Cablecode.Description,Description,,TRUE,,TEXT,500,,
Spokenrepresentation,Spokenrepresentation,,FALSE,,,,,
Spokenrepresentation.SpokenrepresentationId,SpokenrepresentationId,,FALSE,,GUID,,,
Spokenrepresentation.Name,Name,,FALSE,,TEXT,50,,
Spokenrepresentation.Description,Description,,FALSE,,TEXT,500,,
Minute,Minute,,FALSE,,,,,
Minute.MinuteId,MinuteId,,FALSE,,GUID,,,
Minute.Name,Name,,FALSE,,TEXT,50,,
Minute.Description,Description,,FALSE,,TEXT,500,,
Speedinwordsperminute,Speedinwordsperminute,,FALSE,,,,,
Speedinwordsperminute.SpeedinwordsperminuteId,SpeedinwordsperminuteId,,FALSE,,GUID,,,
Speedinwordsperminute.Name,Name,,FALSE,,TEXT,50,,
Speedinwordsperminute.Description,Description,,FALSE,,TEXT,500,,
Farnsworthspeed,Farnsworthspeed,,FALSE,,,,,
Farnsworthspeed.FarnsworthspeedId,FarnsworthspeedId,,FALSE,,GUID,,,
Farnsworthspeed.Name,Name,,FALSE,,TEXT,50,,
Farnsworthspeed.Description,Description,,FALSE,,TEXT,500,,
Display,Display,,TRUE,,,,,
Display.DisplayId,DisplayId,,TRUE,,GUID,,,
Display.Name,Name,,TRUE,,TEXT,50,,
Display.Description,Description,,TRUE,,TEXT,500,,
Alternativedisplayofcommoncharactersininternationalmorsecode,Alternativedisplayofcommoncharactersininternationalmorsecode,,FALSE,,,,,
Alternativedisplayofcommoncharactersininternationalmorsecode.AlternativedisplayofcommoncharactersininternationalmorsecodeId,AlternativedisplayofcommoncharactersininternationalmorsecodeId,,FALSE,,GUID,,,
Alternativedisplayofcommoncharactersininternationalmorsecode.Name,Name,,FALSE,,TEXT,50,,
